TEMA,SUBTEMA,NUM_PERG,PERGUNTA,NOME_ARQUIVO_JS,CODIGO,LINK,TAG_GITHUB,END_TRANSFORMACOES,DESCRICAO,FREQ_DATA,TP_GRAFICO,TITULO
Meio Ambiente,Coleta de Esgoto,qt1,Qual é o número de pessoas que moram em domicílios com acesso à coleta de esgoto?,qt1.csv,codigo_v00.R,https://www.painelsaneamento.org.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_meio_ambiente_acessibilidade_agua_tratada,,anual,barra,População com acesso à coleta de esgoto
Meio Ambiente,Coleta de Esgoto,qt2,Qual é o número de pessoas que moram em domicílios sem acesso à coleta de esgoto?,qt2.csv,codigo_v01.R,https://www.painelsaneamento.org.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_meio_ambiente_acessibilidade_agua_tratada,,anual,barra,População sem acesso à coleta de esgoto
Meio Ambiente,Coleta de Esgoto,qt3,Qual é o volume de esgoto coletado em Salvador?,qt3.csv,codigo_v02.R,https://www.painelsaneamento.org.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_meio_ambiente_acessibilidade_agua_tratada,,anual,barra,Volume de esgoto coletado (m³)
Meio Ambiente,Coleta de Esgoto,qt4,Qual é o volume de esgoto coletado em Salvador?,qt4.csv,codigo_v03.R,https://www.painelsaneamento.org.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_meio_ambiente_acessibilidade_agua_tratada,,anual,barra,Volume de esgoto tratado (m³)
